displacement,mpg,h,err_v,partial MSE,MSE,Sum,,w0,w1,,,,
307,18,16.6703,-1.3297,1.76810209,10.68732657,-899.868925,-408.2179,35.121,-0.0601,,35.00000789],,
350,15,14.086,-0.914,0.835396,,-899.868925,-728.1179,,,, [-0.09803031,,
318,18,16.0092,-1.9908,3.96328464,,,-1361.1923,,,,,,
304,16,16.8506,0.8506,0.72352036,,Gradient,-1102.6099,,,,,,
302,17,16.9708,-0.0292,0.00085264,,-2.295583992,-1111.4283,,,,,,
429,15,9.3381,-5.6619,32.05711161,,,-3540.3834,,,,,,
454,14,7.8356,-6.1644,37.99982736,,,-6339.021,,,,,,
440,14,8.677,-5.323,28.334329,,,-8681.141,,,,,,
455,14,7.7755,-6.2245,38.74440025,,,-11513.2885,,,,,,
390,15,11.682,-3.318,11.009124,,,-12807.3085,,,,,,
383,15,12.1027,-2.8973,8.39434729,,,-13916.9744,,,,,,
340,14,14.687,0.687,0.471969,,,-13683.3944,,,,,,
400,15,11.081,-3.919,15.358561,,,-15250.9944,,,,,,
455,14,7.7755,-6.2245,38.74440025,,,-18083.1419,,,,,,
113,24,28.3297,4.3297,18.74630209,,,-17593.8858,,,,,,
198,22,23.2212,1.2212,1.49132944,,,-17352.0882,,,,,,
199,18,23.1611,5.1611,26.63695321,,,-16325.0293,,,,,,
200,21,23.101,2.101,4.414201,,,-15904.8293,,,,,,
97,27,29.2913,2.2913,5.25005569,,,-15682.5732,,,,,,
97,26,29.2913,3.2913,10.83265569,,,-15363.3171,,,,,,
110,25,28.51,3.51,12.3201,,,-14977.2171,,,,,,
107,24,28.6903,4.6903,21.99891409,,,-14475.355,,,,,,
104,25,28.8706,3.8706,14.98154436,,,-14072.8126,,,,,,
121,26,27.8489,1.8489,3.41843121,,,-13849.0957,,,,,,
199,21,23.1611,2.1611,4.67035321,,,-13419.0368,,,,,,
360,10,13.485,3.485,12.145225,,,-12164.4368,,,,,,
307,10,16.6703,6.6703,44.49290209,,,-10116.6547,,,,,,
318,11,16.0092,5.0092,25.09208464,,,-8523.7291,,,,,,
304,9,16.8506,7.8506,61.63192036,,,-6137.1467,,,,,,
97,27,29.2913,2.2913,5.25005569,,,-5914.8906,,,,,,
140,28,26.707,-1.293,1.671849,,,-6095.9106,,,,,,
113,25,28.3297,3.3297,11.08690209,,,-5719.6545,,,,,,
232,19,21.1778,2.1778,4.74281284,,,-5214.4049,,,,,,
225,16,21.5985,5.5985,31.34320225,,,-3954.7424,,,,,,
250,17,20.096,3.096,9.585216,,,-3180.7424,,,,,,
250,19,20.096,1.096,1.201216,,,-2906.7424,,,,,,
232,18,21.1778,3.1778,10.09841284,,,-2169.4928,,,,,,
350,14,14.086,0.086,0.007396,,,-2139.3928,,,,,,
400,14,11.081,-2.919,8.520561,,,-3306.9928,,,,,,
351,14,14.0259,0.0259,0.00067081,,,-3297.9019,,,,,,
318,14,16.0092,2.0092,4.03688464,,,-2658.9763,,,,,,
383,12,12.1027,0.1027,0.01054729,,,-2619.6422,,,,,,
400,13,11.081,-1.919,3.682561,,,-3387.2422,,,,,,
400,13,11.081,-1.919,3.682561,,,-4154.8422,,,,,,
258,18,19.6152,1.6152,2.60887104,,,-3738.1206,,,,,,
140,22,26.707,4.707,22.155849,,,-3079.1406,,,,,,
250,19,20.096,1.096,1.201216,,,-2805.1406,,,,,,
250,18,20.096,2.096,4.393216,,,-2281.1406,,,,,,
122,23,27.7888,4.7888,22.93260544,,,-1696.907,,,,,,
116,28,28.1494,0.1494,0.02232036,,,-1679.5766,,,,,,
79,30,30.3731,0.3731,0.13920361,,,-1650.1017,,,,,,
88,30,29.8322,-0.1678,0.02815684,,,-1664.8681,,,,,,
71,31,30.8539,-0.1461,0.02134521,,,-1675.2412,,,,,,
72,35,30.7938,-4.2062,17.69211844,,,-1978.0876,,,,,,
97,27,29.2913,2.2913,5.25005569,,,-1755.8315,,,,,,
91,26,29.6519,3.6519,13.33637361,,,-1423.5086,,,,,,
113,24,28.3297,4.3297,18.74630209,,,-934.2525,,,,,,
97.5,25,29.26125,4.26125,18.15825156,,,-518.780625,,,,,,
97,23,29.2913,6.2913,39.58045569,,,91.475475,,,,,,
140,20,26.707,6.707,44.983849,,,1030.455475,,,,,,
122,21,27.7888,6.7888,46.08780544,,,1858.689075,,,,,,
350,13,14.086,1.086,1.179396,,,2238.789075,,,,,,
400,14,11.081,-2.919,8.520561,,,1071.189075,,,,,,
318,15,16.0092,1.0092,1.01848464,,,1392.114675,,,,,,
351,14,14.0259,0.0259,0.00067081,,,1401.205575,,,,,,
304,17,16.8506,-0.1494,0.02232036,,,1355.787975,,,,,,
429,11,9.3381,-1.6619,2.76191161,,,642.832875,,,,,,
350,13,14.086,1.086,1.179396,,,1022.932875,,,,,,
350,12,14.086,2.086,4.351396,,,1753.032875,,,,,,
400,13,11.081,-1.919,3.682561,,,985.432875,,,,,,
70,19,30.914,11.914,141.943396,,,1819.412875,,,,,,
304,15,16.8506,1.8506,3.42472036,,,2381.995275,,,,,,
307,13,16.6703,3.6703,13.47110209,,,3508.777375,,,,,,
302,13,16.9708,3.9708,15.76725264,,,4707.958975,,,,,,
318,14,16.0092,2.0092,4.03688464,,,5346.884575,,,,,,
121,18,27.8489,9.8489,97.00083121,,,6538.601475,,,,,,
121,22,27.8489,5.8489,34.20963121,,,7246.318375,,,,,,
120,21,27.909,6.909,47.734281,,,8075.398375,,,,,,
