year,mpg,,h,err,MSE,,w0,-70
70,18,,16.1,-1.9,20.14204311,,w1,1.23
70,15,,16.1,1.1,,,,
70,18,,16.1,-1.9,,,,
70,16,,16.1,0.1,,,,
70,17,,16.1,-0.9,,,,
70,15,,16.1,1.1,,,,
70,14,,16.1,2.1,,,,
70,14,,16.1,2.1,,,,
70,14,,16.1,2.1,,,,
70,15,,16.1,1.1,,,,
70,15,,16.1,1.1,,,,
70,14,,16.1,2.1,,,,
70,15,,16.1,1.1,,,,
70,14,,16.1,2.1,,,,
70,24,,16.1,-7.9,,,,
70,22,,16.1,-5.9,,,,
70,18,,16.1,-1.9,,,,
70,21,,16.1,-4.9,,,,
70,27,,16.1,-10.9,,,,
70,26,,16.1,-9.9,,,,
70,25,,16.1,-8.9,,,,
70,24,,16.1,-7.9,,,,
70,25,,16.1,-8.9,,,,
70,26,,16.1,-9.9,,,,
70,21,,16.1,-4.9,,,,
70,10,,16.1,6.1,,,,
70,10,,16.1,6.1,,,,
70,11,,16.1,5.1,,,,
70,9,,16.1,7.1,,,,
71,27,,17.33,-9.67,,,,
71,28,,17.33,-10.67,,,,
71,25,,17.33,-7.67,,,,
71,19,,17.33,-1.67,,,,
71,16,,17.33,1.33,,,,
71,17,,17.33,0.33,,,,
71,19,,17.33,-1.67,,,,
71,18,,17.33,-0.67,,,,
71,14,,17.33,3.33,,,,
71,14,,17.33,3.33,,,,
71,14,,17.33,3.33,,,,
71,14,,17.33,3.33,,,,
71,12,,17.33,5.33,,,,
71,13,,17.33,4.33,,,,
71,13,,17.33,4.33,,,,
71,18,,17.33,-0.67,,,,
71,22,,17.33,-4.67,,,,
71,19,,17.33,-1.67,,,,
71,18,,17.33,-0.67,,,,
71,23,,17.33,-5.67,,,,
71,28,,17.33,-10.67,,,,
71,30,,17.33,-12.67,,,,
71,30,,17.33,-12.67,,,,
71,31,,17.33,-13.67,,,,
71,35,,17.33,-17.67,,,,
71,27,,17.33,-9.67,,,,
71,26,,17.33,-8.67,,,,
72,24,,18.56,-5.44,,,,
72,25,,18.56,-6.44,,,,
72,23,,18.56,-4.44,,,,
72,20,,18.56,-1.44,,,,
72,21,,18.56,-2.44,,,,
72,13,,18.56,5.56,,,,
72,14,,18.56,4.56,,,,
72,15,,18.56,3.56,,,,
72,14,,18.56,4.56,,,,
72,17,,18.56,1.56,,,,
72,11,,18.56,7.56,,,,
72,13,,18.56,5.56,,,,
72,12,,18.56,6.56,,,,
72,13,,18.56,5.56,,,,
72,19,,18.56,-0.44,,,,
72,15,,18.56,3.56,,,,
72,13,,18.56,5.56,,,,
72,13,,18.56,5.56,,,,
72,14,,18.56,4.56,,,,
72,18,,18.56,0.56,,,,
72,22,,18.56,-3.44,,,,
72,21,,18.56,-2.44,,,,
72,26,,18.56,-7.44,,,,
72,22,,18.56,-3.44,,,,
72,28,,18.56,-9.44,,,,
72,23,,18.56,-4.44,,,,
72,28,,18.56,-9.44,,,,
72,27,,18.56,-8.44,,,,
73,13,,19.79,6.79,,,,
73,14,,19.79,5.79,,,,
73,13,,19.79,6.79,,,,
73,14,,19.79,5.79,,,,
73,15,,19.79,4.79,,,,
73,12,,19.79,7.79,,,,
73,13,,19.79,6.79,,,,
73,13,,19.79,6.79,,,,
73,14,,19.79,5.79,,,,
73,13,,19.79,6.79,,,,
73,12,,19.79,7.79,,,,
73,13,,19.79,6.79,,,,
73,18,,19.79,1.79,,,,
73,16,,19.79,3.79,,,,
73,18,,19.79,1.79,,,,
73,18,,19.79,1.79,,,,
73,23,,19.79,-3.21,,,,
73,26,,19.79,-6.21,,,,
73,11,,19.79,8.79,,,,
73,12,,19.79,7.79,,,,
73,13,,19.79,6.79,,,,
73,12,,19.79,7.79,,,,
